id,tag_name,created_at
1,sunset,"2022-12-20 03:31:47"
2,photography,"2022-12-20 03:31:47"
3,sunrise,"2022-12-20 03:31:47"
4,landscape,"2022-12-20 03:31:47"
5,food,"2022-12-20 03:31:47"
6,foodie,"2022-12-20 03:31:47"
7,delicious,"2022-12-20 03:31:47"
8,beauty,"2022-12-20 03:31:47"
9,stunning,"2022-12-20 03:31:47"
10,dreamy,"2022-12-20 03:31:47"
11,lol,"2022-12-20 03:31:47"
12,happy,"2022-12-20 03:31:47"
13,fun,"2022-12-20 03:31:47"
14,style,"2022-12-20 03:31:47"
15,hair,"2022-12-20 03:31:47"
16,fashion,"2022-12-20 03:31:47"
17,party,"2022-12-20 03:31:47"
18,concert,"2022-12-20 03:31:47"
19,drunk,"2022-12-20 03:31:47"
20,beach,"2022-12-20 03:31:47"
21,smile,"2022-12-20 03:31:47"
